crime,year,average_rate
assault,2014,599.9889592640102
assault,2015,332.82354031689465
assault,2016,488.61303366720676
assault,2017,954.4738274998963
assault,2018,482.90239716880023
assault,2019,890.3502221219242
assault,2020,914.4381869118661
assault,2021,608.7349823210388
assault,2022,410.6897765304893
assault,2023,147.09469093941152
autotheft,2014,935.299803270027
autotheft,2015,301.22889997437596
autotheft,2016,60.7205715496093
autotheft,2017,947.7269400376827
autotheft,2018,720.5962734296918
autotheft,2019,142.29429559782147
autotheft,2020,549.2846560664475
autotheft,2021,954.0912385564297
autotheft,2022,585.4833531193435
autotheft,2023,404.51028174720705
biketheft,2014,647.8934793267399
biketheft,2015,319.8206170927733
biketheft,2016,307.72001086734235
biketheft,2017,219.76763126440346
biketheft,2018,369.48886583559215
biketheft,2019,984.2192034702748
biketheft,2020,154.2023008223623
biketheft,2021,91.04399988427758
biketheft,2022,141.90690778195858
biketheft,2023,690.0071015115827
breakenter,2014,619.2564833909273
breakenter,2015,891.3941171485931
breakenter,2016,672.9990926105529
breakenter,2017,737.0777379255742
breakenter,2018,521.1357257794589
breakenter,2019,659.8384496755898
breakenter,2020,821.805460145697
breakenter,2021,786.2815517000854
breakenter,2022,979.8219173680991
breakenter,2023,439.4315362442285
homicide,2014,311.7022020742297
homicide,2015,409.47495261207223
homicide,2016,10.467111831530929
homicide,2017,183.84952400811017
homicide,2018,842.7293188869953
homicide,2019,231.16178205236793
homicide,2020,239.0999556519091
homicide,2021,76.69116533361375
homicide,2022,245.7236780319363
homicide,2023,732.1352055296302
robbery,2014,847.4531651008874
robbery,2015,497.5272670853883
robbery,2016,387.9090298432857
robbery,2017,246.44899414852262
robbery,2018,111.09646130353212
robbery,2019,389.9944352451712
robbery,2020,571.9353139866143
robbery,2021,216.8927628081292
robbery,2022,444.7680020239204
robbery,2023,217.9906687233597
shooting,2014,502.299563260749
shooting,2015,353.9045718498528
shooting,2016,649.98515881598
shooting,2017,374.71395661123097
shooting,2018,355.44538078829646
shooting,2019,533.6879454553127
shooting,2020,740.3343603946269
shooting,2021,221.10293782316148
shooting,2022,412.7461186144501
shooting,2023,265.6866868492216
theftfrommv,2014,629.9730534665287
theftfrommv,2015,183.8284907862544
theftfrommv,2016,863.6441114358604
theftfrommv,2017,746.5680041350424
theftfrommv,2018,668.284649727866
theftfrommv,2019,618.0178732611239
theftfrommv,2020,372.23806022666395
theftfrommv,2021,529.8356858547777
theftfrommv,2022,874.6823428664356
theftfrommv,2023,581.750099780038
theftover,2014,839.767764788121
theftover,2015,312.44816491380334
theftover,2016,708.2903222180903
theftover,2017,265.01780608668923
theftover,2018,594.3431940395385
theftover,2019,481.28980048932135
theftover,2020,265.03273146227
theftover,2021,564.5904347766191
theftover,2022,913.1882230285555
theftover,2023,901.8743894994259
