crime,year,rate
assault,2014,344.9786377
assault,2015,332.1354675
assault,2016,377.8269653
assault,2017,429.4542847
assault,2018,431.5816345
assault,2019,345.8668823
assault,2020,396.8446045
assault,2021,577.4553833
assault,2022,597.6281738
assault,2023,459.3623657
autotheft,2014,27.3792572
autotheft,2015,21.77937508
autotheft,2016,16.19258308
autotheft,2017,41.89797974
autotheft,2018,76.16146088
autotheft,2019,39.52764511
autotheft,2020,72.59352112
autotheft,2021,71.58538055
autotheft,2022,46.68970108
autotheft,2023,95.51098633
biketheft,2014,93.08947754
biketheft,2015,103.452034
biketheft,2016,145.7332611
biketheft,2017,178.0664063
biketheft,2018,152.3229218
biketheft,2019,207.5201416
biketheft,2020,454.9194336
biketheft,2021,162.2601929
biketheft,2022,81.86655751
biketheft,2023,168.28125
breakenter,2014,147.8479919
breakenter,2015,174.2350006
breakenter,2016,134.9382019
breakenter,2017,193.7781525
breakenter,2018,243.7166748
breakenter,2019,410.0993042
breakenter,2020,338.7697754
breakenter,2021,209.9837799
breakenter,2022,121.393219
breakenter,2023,195.5701141
homicide,2014,0
homicide,2015,0
homicide,2016,5.397527695
homicide,2017,0
homicide,2018,0
homicide,2019,4.940955639
homicide,2020,4.839568138
homicide,2021,4.772358418
homicide,2022,0
robbery,2014,65.71022034
robbery,2015,54.44843674
robbery,2016,48.57775116
robbery,2017,36.66073227
robbery,2018,86.31632233
robbery,2019,24.70477867
robbery,2020,77.43309021
robbery,2021,52.49594498
robbery,2022,74.70352173
robbery,2023,13.64442635
shooting,2014,5.475851536
shooting,2015,0
shooting,2016,5.397527695
shooting,2017,0
shooting,2018,5.077430725
shooting,2019,4.940955639
shooting,2020,4.839568138
shooting,2021,0
shooting,2022,4.668970108
theftfrommv,2014,98.56533051
theftfrommv,2015,103.452034
theftfrommv,2016,70.16786194
theftfrommv,2017,89.03320313
theftfrommv,2018,96.47118378
theftfrommv,2019,118.5829315
theftfrommv,2020,208.1014404
theftfrommv,2021,104.99189
theftfrommv,2022,195.5701096
theftfrommv,2023,181.9256897
theftover,2014,21.90340614
theftover,2015,16.33453178
theftover,2016,21.59011078
theftover,2017,5.237247467
theftover,2018,15.23229218
theftover,2019,14.82286644
theftover,2020,24.19784164
theftover,2021,28.634151459999998
theftover,2022,14.00691032
theftover,2023,36.38513565
assault,2014,386.963623
assault,2015,449.127655
assault,2016,372.0688782
assault,2017,429.0075073
assault,2018,433.5487976
assault,2019,582.0105591
assault,2020,525.9697266
assault,2021,740.5825195
assault,2022,893.8393555
assault,2023,696.4249878
autotheft,2014,34.39676666
autotheft,2015,8.637070656
autotheft,2016,17.30552864
autotheft,2017,16.50028801
autotheft,2018,31.53082085
autotheft,2019,30.23431587
autotheft,2020,80.35649109
autotheft,2021,99.69379425
autotheft,2022,68.75687408
autotheft,2023,119.387146
biketheft,2014,42.99596024
biketheft,2015,112.2819138
biketheft,2016,77.87487793
biketheft,2017,107.2518768
biketheft,2018,134.0059967
biketheft,2019,166.2887421
biketheft,2020,365.2567749
biketheft,2021,156.6616821
biketheft,2022,66.32619221
biketheft,2023,145.9176178
breakenter,2014,214.9797974
breakenter,2015,380.0310974
breakenter,2016,129.7914734
breakenter,2017,198.0034637
breakenter,2018,331.0736389
breakenter,2019,272.1088562
breakenter,2020,642.8519287
breakenter,2021,348.9282837
breakenter,2022,316.2816162
breakenter,2023,205.6111908
homicide,2014,0
homicide,2015,0
homicide,2016,0
homicide,2017,0
homicide,2018,0
homicide,2019,7.558578968
homicide,2020,7.305135727
homicide,2021,0
homicide,2022,0
robbery,2014,42.99596024
robbery,2015,86.37070465
robbery,2016,60.5693512
robbery,2017,49.50086594
robbery,2018,70.9443512
robbery,2019,143.6130066
robbery,2020,21.91540718
robbery,2021,71.20985413
robbery,2022,75.63256073
robbery,2023,92.85666656
shooting,2014,0
shooting,2015,0
shooting,2016,0
shooting,2017,0
shooting,2018,0
shooting,2019,0
shooting,2020,0
shooting,2021,7.120985508
shooting,2022,6.875687599
theftfrommv,2014,154.7854462
theftfrommv,2015,51.82242203
theftfrommv,2016,112.485939
theftfrommv,2017,107.2518768
theftfrommv,2018,55.178936
theftfrommv,2019,136.0544281
theftfrommv,2020,175.3232574
theftfrommv,2021,121.0567551
theftfrommv,2022,152.5502421
theftfrommv,2023,271.9373779
theftover,2014,17.19838333
theftover,2015,25.91121101
theftover,2016,17.30552864
theftover,2017,16.50028801
theftover,2018,39.41352844
theftover,2019,30.23431587
theftover,2020,43.83081436
theftover,2021,14.24197102
theftover,2022,27.5027504
theftover,2023,46.42833328
assault,2014,412.0070496
assault,2015,422.159668
assault,2016,587.447937
assault,2017,693.9317627
assault,2018,684.9315186
assault,2019,694.3439941
assault,2020,542.7310181
assault,2021,734.3318481
assault,2022,688.9549561
assault,2023,751.6080322
autotheft,2014,58.85815048
autotheft,2015,74.06310272
autotheft,2016,133.8488922
autotheft,2017,81.20478058
autotheft,2018,80.15155792
autotheft,2019,86.79299927
autotheft,2020,130.2554474
autotheft,2021,58.16489792
autotheft,2022,181.3039398
autotheft,2023,202.3560028
biketheft,2014,191.2889862
biketheft,2015,251.8145447
biketheft,2016,386.6745911
biketheft,2017,332.2013855
biketheft,2018,218.5951691
biketheft,2019,188.0514984
biketheft,2020,202.6195831
biketheft,2021,189.0359192
biketheft,2022,144.5400014
biketheft,2023,274.6260071
breakenter,2014,279.5762329
breakenter,2015,155.5325165
breakenter,2016,275.1338501
breakenter,2017,287.9078674
breakenter,2018,364.3252563
breakenter,2019,600.3182373
breakenter,2020,340.1114502
breakenter,2021,138.1416321
breakenter,2022,239.3211975
breakenter,2023,332.4420166
homicide,2014,7.35726881
homicide,2015,0
homicide,2016,0
homicide,2017,7.38225317
homicide,2018,0
homicide,2019,14.46549988
homicide,2020,7.236413479
homicide,2021,0
homicide,2022,0
robbery,2014,176.5744629
robbery,2015,140.7198944
robbery,2016,96.66864777
robbery,2017,280.5256042
robbery,2018,225.8816681
robbery,2019,101.2584991
robbery,2020,108.5462036
robbery,2021,159.9534607
robbery,2022,72.52157593
robbery,2023,151.7669983
shooting,2014,0
shooting,2015,0
shooting,2016,14.87209988
shooting,2017,0
shooting,2018,0
shooting,2019,0
shooting,2020,0
shooting,2021,14.54122448
shooting,2022,0
shooting,2023,7.227000237
theftfrommv,2014,294.2907715
theftfrommv,2015,251.8145447
theftfrommv,2016,364.3664551
theftfrommv,2017,310.0546265
theftfrommv,2018,597.4934692
theftfrommv,2019,484.5942383
theftfrommv,2020,484.8397217
theftfrommv,2021,130.8710175
theftfrommv,2022,202.356002
theftfrommv,2023,173.447998
theftover,2014,36.78634644
theftover,2015,22.2189312
theftover,2016,37.18024826
theftover,2017,22.14675903
theftover,2018,29.14602089
theftover,2019,21.69824982
theftover,2020,21.70923996
theftover,2021,14.54122448
theftover,2022,29.00863075
theftover,2023,21.68099976
assault,2014,655.6818848
assault,2015,658.6399536
assault,2016,684.8467407
assault,2017,638.5748291
assault,2018,627.0218506
assault,2019,716.8458862
assault,2020,661.9922485
assault,2021,696.6459351
assault,2022,539.2404175
assault,2023,872.7134399
autotheft,2014,80.89581299
autotheft,2015,71.31769562
autotheft,2016,49.50699234
autotheft,2017,69.14504242
autotheft,2018,115.8193207
autotheft,2019,90.59041595
autotheft,2020,172.3530121
autotheft,2021,136.9809418
autotheft,2022,182.3330841
autotheft,2023,129.5731659
biketheft,2014,170.3069763
biketheft,2015,172.0015106
biketheft,2016,206.2791443
biketheft,2017,252.1760406
biketheft,2018,259.5950317
biketheft,2019,275.7099609
biketheft,2020,211.5241547
biketheft,2021,140.8946838
biketheft,2022,137.195122
biketheft,2023,209.603653
breakenter,2014,157.5339508
breakenter,2015,192.9773102
breakenter,2016,169.1488953
breakenter,2017,207.4351196
breakenter,2018,363.43304440000003
breakenter,2019,405.6875
breakenter,2020,430.8825378
breakenter,2021,297.4443359
breakenter,2022,217.2479401
breakenter,2023,312.5
homicide,2014,4.257674694
homicide,2015,12.58547592
homicide,2016,0
homicide,2017,4.067355633
homicide,2018,0
homicide,2019,3.938713551
homicide,2020,0
homicide,2021,0
homicide,2022,0
robbery,2014,110.6995392
robbery,2015,125.8547668
robbery,2016,107.265152
robbery,2017,109.8185959
robbery,2018,71.88785553
robbery,2019,118.1614075
robbery,2020,86.17650604
robbery,2021,43.05115128
robbery,2022,77.58854675
robbery,2023,68.5975647
shooting,2014,0
shooting,2015,8.390317917
shooting,2016,4.125582695
shooting,2017,20.33677673
shooting,2018,11.98130894
shooting,2019,7.877427101
shooting,2020,19.58556938
shooting,2021,11.74122334
shooting,2022,11.63828182
shooting,2023,7.621951103
theftfrommv,2014,298.0372009
theftfrommv,2015,109.0741272
theftfrommv,2016,198.0279694
theftfrommv,2017,296.9169312
theftfrommv,2018,611.0467529
theftfrommv,2019,492.3392029
theftfrommv,2020,544.4788208
theftfrommv,2021,203.5145416
theftfrommv,2022,232.4695122
theftfrommv,2023,217.2256165
theftover,2014,21.28837204
theftover,2015,20.97579384
theftover,2016,24.75349617
theftover,2017,24.40413284
theftover,2018,27.95638847
theftover,2019,15.7548542
theftover,2020,35.25402451
theftover,2021,31.30992889
theftover,2022,31.03541946
theftover,2023,34.29878235
assault,2014,3817.829346
assault,2015,4789.324707
assault,2016,4208.070313
assault,2017,4995.443848
assault,2018,4575.786621
assault,2019,5048.573242
assault,2020,2842.933594
assault,2021,2343.636719
assault,2022,3116.864746
assault,2023,3686.104248
autotheft,2014,116.279068
autotheft,2015,182.798645
autotheft,2016,172.81604
autotheft,2017,115.9804459
autotheft,2018,214.4899902
autotheft,2019,290.6754456
autotheft,2020,103.9192429
autotheft,2021,123.3492966
autotheft,2022,204.038559
autotheft,2023,312.2666626
biketheft,2014,2160.852783
biketheft,2015,1425.829468
biketheft,2016,1745.442017
biketheft,2017,1781.128296
biketheft,2018,2121.067627
biketheft,2019,1675.208496
biketheft,2020,1284.144897
biketheft,2021,1226.237061
biketheft,2022,1561.333243
biketheft,2023,1547.75647
breakenter,2014,668.6046753
breakenter,2015,1051.092163
breakenter,2016,527.0889282
breakenter,2017,1035.539673
breakenter,2018,794.4073486
breakenter,2019,910.2730713
breakenter,2020,1105.997681
breakenter,2021,812.6541748
breakenter,2022,865.4049072
breakenter,2023,733.1477661
homicide,2014,9.689922333
homicide,2015,18.27986526
homicide,2016,0
homicide,2017,0
homicide,2018,7.9440736770000004
homicide,2019,15.29870701
homicide,2020,0
homicide,2021,7.255840778
homicide,2022,7.035812378
homicide,2023,6.788405418
robbery,2014,707.3643188
robbery,2015,475.2764893
robbery,2016,639.4193115
robbery,2017,729.0199585
robbery,2018,699.0784912
robbery,2019,481.9092712
